adjectives,answer,image_file,noun_lemma,people,qa_id,question,question_phrase,relevant,type
plaid,plaid shirt found,2403418.jpg,shirt,man,1226,what is the man in the plaid shirt having for a meal,plaid shirt,1,attribute
plaid,no plaid shirt found,2336591.jpg,shirt,man,-1226,what is the man in the plaid shirt having for a meal,plaid shirt,0,attribute
gray,gray shirt found,2403412.jpg,shirt,woman,1230,what is the woman in the gray shirt doing,gray shirt,1,attribute
gray,no gray shirt found,2318194.jpg,shirt,woman,-1230,what is the woman in the gray shirt doing,gray shirt,0,attribute
red,red jacket found,2403370.jpg,jacket,woman,1244,where is the woman with the red jacket,red jacket,1,attribute
red,no red jacket found,2321077.jpg,jacket,woman,-1244,where is the woman with the red jacket,red jacket,0,attribute
red,red shirt found,2403296.jpg,shirt,man,1258,where is the man in the red shirt standing,red shirt,1,attribute
red,no red shirt found,2403399.jpg,shirt,man,-1258,where is the man in the red shirt standing,red shirt,0,attribute
blue,blue jacket found,2403102.jpg,jacket,person,1274,what hue is the jacket of the person standing in between the people wearing orange and blue jackets,blue jacket,1,attribute
blue,no blue jacket found,2318341.jpg,jacket,person,-1274,what hue is the jacket of the person standing in between the people wearing orange and blue jackets,blue jacket,0,attribute
pink,pink jacket found,2403102.jpg,jacket,person,1276,what part of the photograph has a person with a pink jacket,pink jacket,1,attribute
pink,no pink jacket found,2398822.jpg,jacket,person,-1276,what part of the photograph has a person with a pink jacket,pink jacket,0,attribute
white,white hat found,2402740.jpg,hat,people,1310,how many people are wearing white hats,white hat,1,attribute
white,no white hat found,2364996.jpg,hat,people,-1310,how many people are wearing white hats,white hat,0,attribute
red,red hair found,2401963.jpg,hair,woman,1394,where is a woman with red hair,red hair,1,attribute
red,no red hair found,2321930.jpg,hair,woman,-1394,where is a woman with red hair,red hair,0,attribute
purple,purple shirt found,2401809.jpg,shirt,girl,1404,what does the girl in the purple shirt have around neck,purple shirt,1,attribute
purple,no purple shirt found,2406880.jpg,shirt,girl,-1404,what does the girl in the purple shirt have around neck,purple shirt,0,attribute
green,green jacket found,2401406.jpg,jacket,person,1434,what is the position of the person with a green jacket,green jacket,1,attribute
green,no green jacket found,2417302.jpg,jacket,person,-1434,what is the position of the person with a green jacket,green jacket,0,attribute
long,long hair found,2401359.jpg,hair,woman,1442,what is the woman with long hair wearing,long hair,1,attribute
long,no long hair found,2320937.jpg,hair,woman,-1442,what is the woman with long hair wearing,long hair,0,attribute
red,red jacket found,2401111.jpg,coat,man,1452,who is the man in the red coat,red jacket,1,attribute
red,no red jacket found,2379778.jpg,coat,man,-1452,who is the man in the red coat,red jacket,0,attribute
pink,pink shirt found,2400329.jpg,shirt,woman,1528,what color is the hair of the woman in the pink shirt,pink shirt,1,attribute
pink,no pink shirt found,1831.jpg,shirt,woman,-1528,what color is the hair of the woman in the pink shirt,pink shirt,0,attribute
gray,gray hair found,2400284.jpg,hair,woman,1548,where is the woman with gray hair,gray hair,1,attribute
gray,no gray hair found,2347819.jpg,hair,woman,-1548,where is the woman with gray hair,gray hair,0,attribute
blue,blue shirt found,2399918.jpg,shirt,woman,1594,what is on the woman in the blue shirt's head,blue shirt,1,attribute
blue,no blue shirt found,2388921.jpg,shirt,woman,-1594,what is on the woman in the blue shirt's head,blue shirt,0,attribute
blue,blue jacket found,2399696.jpg,jacket,boy,1620,what shade of color is the boy's collar under the blue jacket,blue jacket,1,attribute
blue,no blue jacket found,2395165.jpg,jacket,boy,-1620,what shade of color is the boy's collar under the blue jacket,blue jacket,0,attribute
white,white dress found,2399600.jpg,dress,woman,1622,what is over the woman in the white dress's shoulder,white dress,1,attribute
white,no white dress found,2390774.jpg,dress,woman,-1622,what is over the woman in the white dress's shoulder,white dress,0,attribute
blond,blond hair found,2399110.jpg,hair,man,1650,what is the man with blond hair wearing on the face,blond hair,1,attribute
blond,no blond hair found,2401258.jpg,hair,man,-1650,what is the man with blond hair wearing on the face,blond hair,0,attribute
red,red hat found,2398791.jpg,hat,man,1670,what is man in red hat holding,red hat,1,attribute
red,no red hat found,2415723.jpg,hat,man,-1670,what is man in red hat holding,red hat,0,attribute
blue,blue hat found,2398517.jpg,hat,man,1698,what is the man wearing a blue hat holding in the hands,blue hat,1,attribute
blue,no blue hat found,2369430.jpg,hat,man,-1698,what is the man wearing a blue hat holding in the hands,blue hat,0,attribute
long,long hair found,2398361.jpg,hair,person,1722,what sex is the person with the long hair,long hair,1,attribute
long,no long hair found,2340833.jpg,hair,person,-1722,what sex is the person with the long hair,long hair,0,attribute
purple,purple shirt found,2397833.jpg,shirt,woman,1784,what is the woman with the purple shirt doing,purple shirt,1,attribute
purple,no purple shirt found,2378098.jpg,shirt,woman,-1784,what is the woman with the purple shirt doing,purple shirt,0,attribute
brown,brown shirt found,2397230.jpg,shirt,person,1844,what is person in the brown shirt doing,brown shirt,1,attribute
brown,no brown shirt found,1562.jpg,shirt,person,-1844,what is person in the brown shirt doing,brown shirt,0,attribute
blue,blue shirt found,2397005.jpg,shirt,woman,1858,what is the woman wearing over the blue shirt,blue shirt,1,attribute
blue,no blue shirt found,2324544.jpg,shirt,woman,-1858,what is the woman wearing over the blue shirt,blue shirt,0,attribute
green,green jacket found,2396731.jpg,jacket,guy,1894,what is the guy in the green jacket wearing,green jacket,1,attribute
green,no green jacket found,1593162.jpg,jacket,guy,-1894,what is the guy in the green jacket wearing,green jacket,0,attribute
brown,brown jacket found,2396724.jpg,jacket,man,1896,what is the man in brown jacket holding,brown jacket,1,attribute
brown,no brown jacket found,2350254.jpg,jacket,man,-1896,what is the man in brown jacket holding,brown jacket,0,attribute
brown,brown jacket found,2396724.jpg,coat,man,1900,where is the man in the brown coat standing,brown jacket,1,attribute
brown,no brown jacket found,2416340.jpg,coat,man,-1900,where is the man in the brown coat standing,brown jacket,0,attribute
blue,blue hat found,2396673.jpg,hat,woman,1904,what is the woman in the blue hat doing,blue hat,1,attribute
blue,no blue hat found,2400846.jpg,hat,woman,-1904,what is the woman in the blue hat doing,blue hat,0,attribute
curly,curly hair found,2396596.jpg,hair,man,1918,what is the man with curly hair wearing,curly hair,1,attribute
curly,no curly hair found,2331163.jpg,hair,man,-1918,what is the man with curly hair wearing,curly hair,0,attribute
brown,brown shirt found,2396578.jpg,shirt,person,1920,what is the person in the brown shirt wearing on the hands,brown shirt,1,attribute
brown,no brown shirt found,2333122.jpg,shirt,person,-1920,what is the person in the brown shirt wearing on the hands,brown shirt,0,attribute
white,white pant found,2396561.jpg,pant,woman,1926,where is the woman wearing white pants,white pant,1,attribute
white,no white pant found,2361444.jpg,pant,woman,-1926,where is the woman wearing white pants,white pant,0,attribute
pink,pink jacket found,2396112.jpg,coat,woman,1966,where is the shadow of the woman in pink coat,pink jacket,1,attribute
pink,no pink jacket found,2341061.jpg,coat,woman,-1966,where is the shadow of the woman in pink coat,pink jacket,0,attribute
pink,pink jacket found,2396112.jpg,coat,person,1968,what is the person in the pink coat sitting on,pink jacket,1,attribute
pink,no pink jacket found,2412429.jpg,coat,person,-1968,what is the person in the pink coat sitting on,pink jacket,0,attribute
red,red hat found,2395459.jpg,hat,man,2038,who is the man in the red hat,red hat,1,attribute
red,no red hat found,2375857.jpg,hat,man,-2038,who is the man in the red hat,red hat,0,attribute
blond,blond hair found,2395107.jpg,hair,woman,2086,where is the woman with blond hair,blond hair,1,attribute
blond,no blond hair found,2316869.jpg,hair,woman,-2086,where is the woman with blond hair,blond hair,0,attribute
curly,curly hair found,2395046.jpg,hair,woman,2098,what is the woman with the curly hair doing,curly hair,1,attribute
curly,no curly hair found,2413726.jpg,hair,woman,-2098,what is the woman with the curly hair doing,curly hair,0,attribute
blue,blue hat found,2395013.jpg,hat,man,2102,what is the man in the blue hat holding,blue hat,1,attribute
blue,no blue hat found,2417751.jpg,hat,man,-2102,what is the man in the blue hat holding,blue hat,0,attribute
purple,purple shirt found,2394965.jpg,shirt,lady,2110,what does the lady with the purple shirt have on the head,purple shirt,1,attribute
purple,no purple shirt found,2356513.jpg,shirt,lady,-2110,what does the lady with the purple shirt have on the head,purple shirt,0,attribute
gray,gray jacket found,2394737.jpg,jacket,person,2134,what is on person with gray jacket head,gray jacket,1,attribute
gray,no gray jacket found,2318420.jpg,jacket,person,-2134,what is on person with gray jacket head,gray jacket,0,attribute
red,red jacket found,2394498.jpg,jacket,person,2164,what sex is this person in the red jacket,red jacket,1,attribute
red,no red jacket found,1372.jpg,jacket,person,-2164,what sex is this person in the red jacket,red jacket,0,attribute
pink,pink shirt found,2394320.jpg,shirt,woman,2174,where is the woman in the pink shirt looking,pink shirt,1,attribute
pink,no pink shirt found,2336990.jpg,shirt,woman,-2174,where is the woman in the pink shirt looking,pink shirt,0,attribute
green,green shirt found,2393826.jpg,shirt,man,2206,what type of shoes is the man in the green shirt wearing,green shirt,1,attribute
green,no green shirt found,1269.jpg,shirt,man,-2206,what type of shoes is the man in the green shirt wearing,green shirt,0,attribute
red,red shirt found,2393355.jpg,shirt,man,2240,where is the man holding a camera and wearing a red shirt sitting,red shirt,1,attribute
red,no red shirt found,2387534.jpg,shirt,man,-2240,where is the man holding a camera and wearing a red shirt sitting,red shirt,0,attribute
black,black shirt found,2393138.jpg,shirt,woman,2262,what does the woman have on under the black shirt,black shirt,1,attribute
black,no black shirt found,2404795.jpg,shirt,woman,-2262,what does the woman have on under the black shirt,black shirt,0,attribute
brown,brown jacket found,2393035.jpg,coat,person,2270,where is the person in brown coat,brown jacket,1,attribute
brown,no brown jacket found,2358164.jpg,coat,person,-2270,where is the person in brown coat,brown jacket,0,attribute
brown,brown pant found,2393009.jpg,pant,man,2274,what nationality might the man in brown pants and white shirt be,brown pant,1,attribute
brown,no brown pant found,2336222.jpg,pant,man,-2274,what nationality might the man in brown pants and white shirt be,brown pant,0,attribute
blue,blue pant found,2392903.jpg,pant,woman,2280,what does the woman in blue pants have on the woman's back,blue pant,1,attribute
blue,no blue pant found,2344710.jpg,pant,woman,-2280,what does the woman in blue pants have on the woman's back,blue pant,0,attribute
white,white pant found,2392761.jpg,pant,man,2298,who is the man in white pants,white pant,1,attribute
white,no white pant found,497957.jpg,pant,man,-2298,who is the man in white pants,white pant,0,attribute
striped,striped shirt found,2392678.jpg,shirt,woman,2322,where are the hands of the woman with the striped shirt,striped shirt,1,attribute
striped,no striped shirt found,2365139.jpg,shirt,woman,-2322,where are the hands of the woman with the striped shirt,striped shirt,0,attribute
brown,brown shirt found,2392580.jpg,shirt,man,2336,how could the man in brown shirt in background's shirt be described,brown shirt,1,attribute
brown,no brown shirt found,2395290.jpg,shirt,man,-2336,how could the man in brown shirt in background's shirt be described,brown shirt,0,attribute
red,red hat found,2392533.jpg,hat,woman,2344,what is the woman in the red hat doing,red hat,1,attribute
red,no red hat found,2371019.jpg,hat,woman,-2344,what is the woman in the red hat doing,red hat,0,attribute
pink,pink jacket found,2392043.jpg,jacket,woman,2386,where is the woman wearing a pink jacket and a hat,pink jacket,1,attribute
pink,no pink jacket found,2414664.jpg,jacket,woman,-2386,where is the woman wearing a pink jacket and a hat,pink jacket,0,attribute
brown,brown shirt found,2391991.jpg,shirt,man,2390,what is the man in the brown shirt doing,brown shirt,1,attribute
brown,no brown shirt found,2348575.jpg,shirt,man,-2390,what is the man in the brown shirt doing,brown shirt,0,attribute
blond,blond hair found,2391760.jpg,hair,woman,2412,what is on the woman with blonde hair feet,blond hair,1,attribute
blond,no blond hair found,713423.jpg,hair,woman,-2412,what is on the woman with blonde hair feet,blond hair,0,attribute
plaid,plaid shirt found,2391477.jpg,shirt,man,2442,what is the man in the plaid shirt holding,plaid shirt,1,attribute
plaid,no plaid shirt found,2344483.jpg,shirt,man,-2442,what is the man in the plaid shirt holding,plaid shirt,0,attribute
plaid,plaid shirt found,2391477.jpg,shirt,man,2444,what is over the shoulder of the man in the plaid shirt,plaid shirt,1,attribute
plaid,no plaid shirt found,150500.jpg,shirt,man,-2444,what is over the shoulder of the man in the plaid shirt,plaid shirt,0,attribute
plaid,plaid shirt found,2391477.jpg,shirt,man,2446,what is the man in the plaid shirt doing,plaid shirt,1,attribute
plaid,no plaid shirt found,2357756.jpg,shirt,man,-2446,what is the man in the plaid shirt doing,plaid shirt,0,attribute
red,red jacket found,2391038.jpg,coat,person,2482,what is in the hands of the person in the red coat,red jacket,1,attribute
red,no red jacket found,2394015.jpg,coat,person,-2482,what is in the hands of the person in the red coat,red jacket,0,attribute
black,black dress found,2390463.jpg,dress,woman,2524,what is open in front of the woman in the black dress,black dress,1,attribute
black,no black dress found,2406005.jpg,dress,woman,-2524,what is open in front of the woman in the black dress,black dress,0,attribute
yellow,yellow jacket found,2390296.jpg,jacket,person,2540,what kind of umbrella is the person in the yellow jacket holding,yellow jacket,1,attribute
yellow,no yellow jacket found,2414534.jpg,jacket,person,-2540,what kind of umbrella is the person in the yellow jacket holding,yellow jacket,0,attribute
black,black shirt found,2390071.jpg,shirt,person,2556,what person is wearing a black shirt,black shirt,1,attribute
black,no black shirt found,2321221.jpg,shirt,person,-2556,what person is wearing a black shirt,black shirt,0,attribute
red,red shirt found,2389859.jpg,shirt,person,2564,where is the person in red shirt,red shirt,1,attribute
red,no red shirt found,2346845.jpg,shirt,person,-2564,where is the person in red shirt,red shirt,0,attribute
green,green jacket found,2389750.jpg,jacket,person,2572,what is the person next to green jacket wearing,green jacket,1,attribute
green,no green jacket found,2395001.jpg,jacket,person,-2572,what is the person next to green jacket wearing,green jacket,0,attribute
red,red hair found,2389482.jpg,hair,woman,2598,what is the woman with red hair wearing,red hair,1,attribute
red,no red hair found,2390309.jpg,hair,woman,-2598,what is the woman with red hair wearing,red hair,0,attribute
white,white jacket found,2389477.jpg,jacket,man,2602,what man is wearing a red and white jacket,white jacket,1,attribute
white,no white jacket found,2328593.jpg,jacket,man,-2602,what man is wearing a red and white jacket,white jacket,0,attribute
striped,striped shirt found,2389450.jpg,shirt,man,2608,where is the man in the striped shirt,striped shirt,1,attribute
striped,no striped shirt found,2348734.jpg,shirt,man,-2608,where is the man in the striped shirt,striped shirt,0,attribute
black,black suit found,2389323.jpg,suit,man,2628,what is the man in the black suit holding,black suit,1,attribute
black,no black suit found,2349198.jpg,suit,man,-2628,what is the man in the black suit holding,black suit,0,attribute
black,black shirt found,2389044.jpg,shirt,man,2644,what position is the man in the red and black shirt,black shirt,1,attribute
black,no black shirt found,2384921.jpg,shirt,man,-2644,what position is the man in the red and black shirt,black shirt,0,attribute
gray,gray shirt found,2388851.jpg,shirt,man,2652,where is the man wearing a gray shirt and green shorts,gray shirt,1,attribute
gray,no gray shirt found,2318143.jpg,shirt,man,-2652,where is the man wearing a gray shirt and green shorts,gray shirt,0,attribute
purple,purple shirt found,2388815.jpg,shirt,woman,2658,where is the woman wearing the purple shirt,purple shirt,1,attribute
purple,no purple shirt found,2334004.jpg,shirt,woman,-2658,where is the woman wearing the purple shirt,purple shirt,0,attribute
yellow,yellow jacket found,2387770.jpg,jacket,man,2726,what is the man doing with the yellow jacket,yellow jacket,1,attribute
yellow,no yellow jacket found,2342260.jpg,jacket,man,-2726,what is the man doing with the yellow jacket,yellow jacket,0,attribute
yellow,yellow shirt found,2387480.jpg,shirt,boy,2766,what is the boy in the yellow shirt doing,yellow shirt,1,attribute
yellow,no yellow shirt found,2360294.jpg,shirt,boy,-2766,what is the boy in the yellow shirt doing,yellow shirt,0,attribute
green,green jacket found,2387477.jpg,jacket,person,2768,who is the person in the green jacket,green jacket,1,attribute
green,no green jacket found,2406235.jpg,jacket,person,-2768,who is the person in the green jacket,green jacket,0,attribute
red,red hair found,2377852.jpg,hair,lady,2792,what kind of glasses is the lady with red hair wearing,red hair,1,attribute
red,no red hair found,2380515.jpg,hair,lady,-2792,what kind of glasses is the lady with red hair wearing,red hair,0,attribute
purple,purple shirt found,2377257.jpg,shirt,lady,2820,what bottoms in the lady with the purple shirt wearing,purple shirt,1,attribute
purple,no purple shirt found,285760.jpg,shirt,lady,-2820,what bottoms in the lady with the purple shirt wearing,purple shirt,0,attribute
white,white dress found,2377180.jpg,dress,woman,2826,why is the woman wearing a white dress,white dress,1,attribute
white,no white dress found,2375670.jpg,dress,woman,-2826,why is the woman wearing a white dress,white dress,0,attribute
blue,blue jacket found,2377169.jpg,jacket,person,2828,why is the person wearing a blue jacket,blue jacket,1,attribute
blue,no blue jacket found,107929.jpg,jacket,person,-2828,why is the person wearing a blue jacket,blue jacket,0,attribute
yellow,yellow shirt found,2377138.jpg,shirt,guy,2834,who is behind the guy in yellow shirt,yellow shirt,1,attribute
yellow,no yellow shirt found,2409082.jpg,shirt,guy,-2834,who is behind the guy in yellow shirt,yellow shirt,0,attribute
grey,gray shirt found,2377090.jpg,shirt,man,2838,what is under the man's grey shirt,gray shirt,1,attribute
grey,no gray shirt found,2366374.jpg,shirt,man,-2838,what is under the man's grey shirt,gray shirt,0,attribute
short,short hair found,2377085.jpg,hair,man,2842,what man has short hair,short hair,1,attribute
short,no short hair found,2411371.jpg,hair,man,-2842,what man has short hair,short hair,0,attribute
red,red hair found,2376668.jpg,hair,woman,2868,what is the woman with red hair wearing,red hair,1,attribute
red,no red hair found,2405981.jpg,hair,woman,-2868,what is the woman with red hair wearing,red hair,0,attribute
